"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","AJ300785","Homo sapiens partial mRNA for immunoglobulin gamma heavy chain            variable region (IGHV3-7), clone M1-40 (m1hie40), Kawasaki disease             patient.","AJ408273","Homo sapiens partial mRNA for immunoglobulin lambda light chain            variable region (1g400B5 gene (locus 1g)), clone M1-40 (m1lie40),             Kawasaki disease patient.","Homo sapiens (human)","The B cell superantigen-like interaction of intravenous            immunoglobin (IVIG) with Fab fragments of V(H) 3-23 and 3-30/3-30.5             germline gene origin cloned from a patient with Kawasaki disease is             enhanced after IVIG therapy","","77.96","1e-100"
"","AAC08331","monoclonal antibody RL1 immunoglobulin heavy chain variable region            [Homo sapiens].","AAC08342","monoclonal antibody RL1 immunoglobulin light chain variable region            [Homo sapiens].","Homo sapiens (human)","Immunization of infants with Hib PS-protein conjugate vaccine            elicits two distinct antibody repertoire","","77.11","1e-100"
"","EF089238","Synthetic construct single chain antibody SC-3 gene, partial cds.","EF089238","Synthetic construct single chain antibody SC-3 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.60","2e-100"
"","EF607105","Synthetic construct clone p4-4 Phl p 4-specific scFv antibody gene,            partial cds.","EF607105","Synthetic construct clone p4-4 Phl p 4-specific scFv antibody gene,            partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","76.71","2e-100"
"","DQ250208","Synthetic construct clone TC-5 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250208","Synthetic construct clone TC-5 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","2e-100"
"","AF453007","Synthetic construct clone R-5VH immunoglobulin heavy chain variable            region mRNA, partial sequence.","AF453173","Synthetic construct clone R-5VL immunoglobulin light chain variable            region mRNA, partial sequence.","synthetic construct","Infant and adult human B cell responses to rotavirus share common            immunodominant variable gene repertoires","","72.00","2e-100"
"","ABL14158","single chain antibody SC-3 [synthetic construct].","ABL14158","single chain antibody SC-3 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.60","2e-100"
"","EF089249","Synthetic construct single chain antibody SR-2 gene, partial cds.","EF089249","Synthetic construct single chain antibody SR-2 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.60","3e-100"
"","EF607104","Synthetic construct clone p4-2 Phl p 4-specific scFv antibody gene,            partial cds.","EF607104","Synthetic construct clone p4-2 Phl p 4-specific scFv antibody gene,            partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","75.90","3e-100"
"","ABL14169","single chain antibody SR-2 [synthetic construct].","ABL14169","single chain antibody SR-2 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.60","3e-100"
"","AF052526","Homo sapiens monoclonal antibody RL1 immunoglobulin heavy chain            variable region mRNA, partial cds.","AF052537","Homo sapiens monoclonal antibody RL1 immunoglobulin light chain            variable region mRNA, partial cds.","Homo sapiens (human)","Immunization of infants with Hib PS-protein conjugate vaccine            elicits two distinct antibody repertoire","","78.31","5e-100"
"","DQ250255","Synthetic construct clone NN-20 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250255","Synthetic construct clone NN-20 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","79.12","5e-100"
"","DQ250207","Synthetic construct clone TC-3 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250207","Synthetic construct clone TC-3 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.70","5e-100"
"","X98751","H.sapiens mRNA for variable immunoglobulin heavy chain, clone 3.","X98752","H.sapiens mRNA for variable immunoglobulin light chain, clone 3.","Homo sapiens (human)","Isolation of an anti-Digoxigenin antibody out of an human            IGM-Antibody library and expression in E.coli","","79.03","5e-100"
"","EF089248","Synthetic construct single chain antibody SR-1 gene, partial cds.","EF089248","Synthetic construct single chain antibody SR-1 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","6e-100"
"","AF543344","Synthetic construct clone FSV61 recombinant single chain Fv            antibody gene, partial cds.","AF543344","Synthetic construct clone FSV61 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","75.60","6e-100"
"","AF543341","Synthetic construct clone FSV56 recombinant single chain Fv            antibody gene, partial cds.","AF543341","Synthetic construct clone FSV56 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","76.00","6e-100"
"","Z75557","H.sapiens mRNA for immunoglobulin heavy chain V-D-J region (clone            12H).","Z75558","H.sapiens mRNA for immunoglobulin lambda chain V-J region (clone            12L).","Homo sapiens (human)","Myeloma VL and VH gene sequences reveal a complimentary imprint of            antigen selection in tumour cells","","69.76","6e-100"
"","ABL14168","single chain antibody SR-1 [synthetic construct].","ABL14168","single chain antibody SR-1 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","6e-100"
"","AF543340","Synthetic construct clone FSV52 recombinant single chain Fv            antibody gene, partial cds.","AF543340","Synthetic construct clone FSV52 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","76.00","7e-100"
"","AF543339","Synthetic construct clone FSV51 recombinant single chain Fv            antibody gene, partial cds.","AF543339","Synthetic construct clone FSV51 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","76.00","7e-100"
"","AB363206","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F038-095H.","AB363399","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F038-095L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","69.35","7e-100"
"","DQ250218","Synthetic construct clone TC-15 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250218","Synthetic construct clone TC-15 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","8e-100"
"","AY941943","Homo sapiens clone SC4113 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942090","Homo sapiens clone SC4113 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","75.81","9e-100"
"","AF165107","Homo sapiens clone 14.1 immunoglobulin heavy chain variable region            LSG6.1 mRNA, partial cds.","AF165108","Homo sapiens clone 14.1 immunoglobulin kappa light chain variable            region DPL5 mRNA, partial cds.","Homo sapiens (human)","Combinatorial library cloning of human antibodies to Streptococcus            pneumoniae capsular polysaccharides: variable region primary             structures and evidence for somatic mutation of Fab fragments             specific for capsular serotypes","","75.72","1e-99"
"","DQ250228","Synthetic construct clone NC-5 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250228","Synthetic construct clone NC-5 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.00","1e-99"
"","DQ250191","Synthetic construct clone EC-6 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250191","Synthetic construct clone EC-6 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.00","1e-99"
"","DQ065732","Synthetic construct clone 4.4 anti-Phl p 5 allergen single chain            antibody fragment gene, partial cds.","DQ065732","Synthetic construct clone 4.4 anti-Phl p 5 allergen single chain            antibody fragment gene, partial cds.","synthetic construct","The human IgE-encoding transcriptome to assess antibody repertoires            and repertoire evolution","Phl p 5 allergen","75.90","2e-99"
"","DQ250222","Synthetic construct clone TC-19 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250222","Synthetic construct clone TC-19 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.40","2e-99"
"","DQ250169","Synthetic construct clone FC-1 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250169","Synthetic construct clone FC-1 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","2e-99"
"","AX814386","Sequence 11 from Patent WO03064648.","AX814386","Sequence 11 from Patent WO03064648.","synthetic construct","Method of making libraries of anti-ligands","","75.60","2e-99"
"","EF607107","Synthetic construct clone p4-7 Phl p 4-specific scFv antibody gene,            partial cds.","EF607107","Synthetic construct clone p4-7 Phl p 4-specific scFv antibody gene,            partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","76.31","3e-99"
"","EF607103","Synthetic construct clone p4-1 Phl p 4-specific scFv antibody gene,            partial cds.","EF607103","Synthetic construct clone p4-1 Phl p 4-specific scFv antibody gene,            partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","76.71","3e-99"
"","DQ250219","Synthetic construct clone TC-16 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250219","Synthetic construct clone TC-16 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","3e-99"
"","DQ250185","Synthetic construct clone FC-19 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250185","Synthetic construct clone FC-19 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","3e-99"
"","EF089239","Synthetic construct single chain antibody SC-4 gene, partial cds.","EF089239","Synthetic construct single chain antibody SC-4 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","4e-99"
"","AF254671","Synthetic construct single chain Fv antibody against hepatitis E            virus ORF2 protein gene, complete cds.","AF254671","Synthetic construct single chain Fv antibody against hepatitis E            virus ORF2 protein gene, complete cds.","synthetic construct","Synthetic construct single chain Fv antibody recognizing HEV ORF2","","71.77","4e-99"
"","ABL14159","single chain antibody SC-4 [synthetic construct].","ABL14159","single chain antibody SC-4 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","4e-99"
"","AAF82759","single chain Fv antibody against hepatitis E virus ORF2 protein            [synthetic construct].","AAF82759","single chain Fv antibody against hepatitis E virus ORF2 protein            [synthetic construct].","synthetic construct","Synthetic construct single chain Fv antibody recognizing HEV ORF2","","71.77","4e-99"
"","GM674293","Sequence 18 from Patent WO2008075045.","GM674293","Sequence 18 from Patent WO2008075045.","synthetic construct","Binding agents to the integrin alpha-11 subunit, and uses thereof","","74.90","5e-99"
"","GM670070","Sequence 15 from Patent WO2008075038.","GM670070","Sequence 15 from Patent WO2008075038.","synthetic construct","Binding agents to the integrin alpha-11 subunit","","74.90","5e-99"
"","CQ859638","Sequence 105 from Patent WO2004072117.","CQ859638","Sequence 105 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","76.31","5e-99"
"","DQ250182","Synthetic construct clone FC-16 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250182","Synthetic construct clone FC-16 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","7e-99"
"","CQ859639","Sequence 106 from Patent WO2004072117.","CQ859639","Sequence 106 from Patent WO2004072117.","synthetic construct","Antibodies to c-met for the treatment of cancers","","78.71","7e-99"
"","EF089243","Synthetic construct single chain antibody SC-11 gene, partial cds.","EF089243","Synthetic construct single chain antibody SC-11 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","74.80","9e-99"
"","ABL14163","single chain antibody SC-11 [synthetic construct].","ABL14163","single chain antibody SC-11 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","74.80","9e-99"
"","EU169674","Homo sapiens hybridoma 1F1 immunoglobulin heavy chain mRNA, partial            cds.","EU169677","Homo sapiens hybridoma 1F1 immunoglobulin light chain mRNA, partial            cds.","Homo sapiens (human)","Neutralizing antibodies derived from the B cells of 1918 influenza            pandemic survivors","","76.38","1e-98"
"","EF089245","Synthetic construct single chain antibody SC-15 gene, partial cds.","EF089245","Synthetic construct single chain antibody SC-15 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","1e-98"
"","AM259134","Homo sapiens partial mRNA for immunoglobulin heavy chain variable            region (T14-5-HC gene), clone T14-5.","AM259144","Homo sapiens partial mRNA for immunoglobulin light chain variable            region (T14-5-LC gene), clone T14-5.","Homo sapiens (human)","Molecular characterization of the anti-idiotypic immune response of            a relapse-free neuroblastoma patient following antibody therapy: a             possible vaccine against tumors of neuroectodermal origin?","","78.09","1e-98"
"","DQ250240","Synthetic construct clone NL2-9 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250240","Synthetic construct clone NL2-9 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.40","1e-98"
"","DQ250226","Synthetic construct clone NC-3 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250226","Synthetic construct clone NC-3 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","1e-98"
"","DQ250212","Synthetic construct clone TC-9 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250212","Synthetic construct clone TC-9 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","1e-98"
"","DQ250175","Synthetic construct clone FC-9 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250175","Synthetic construct clone FC-9 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","1e-98"
"","DQ250173","Synthetic construct clone FC-6 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250173","Synthetic construct clone FC-6 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","1e-98"
"","DQ250171","Synthetic construct clone FC-4 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250171","Synthetic construct clone FC-4 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.80","1e-98"
"","ABY48864","immunoglobulin heavy chain [Homo sapiens].","ABY48867","immunoglobulin light chain [Homo sapiens].","Homo sapiens (human)","Neutralizing antibodies derived from the B cells of 1918 influenza            pandemic survivors","","76.38","1e-98"
"","ABL14165","single chain antibody SC-15 [synthetic construct].","ABL14165","single chain antibody SC-15 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","76.00","1e-98"
"","FJ385422","Homo sapiens isolate RSV168H immunoglobulin heavy chain variable            region mRNA, partial cds.","FJ385568","Homo sapiens isolate RSV168L immunoglobulin light chain variable            region mRNA, partial cds.","Homo sapiens (human)","The human neonatal B cell response to respiratory syncytial virus            uses a biased antibody variable gene repertoire that lacks somatic             mutations","","75.61","2e-98"
"","EF089242","Synthetic construct single chain antibody SC-7 gene, partial cds.","EF089242","Synthetic construct single chain antibody SC-7 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.20","2e-98"
"","EF607109","Synthetic construct clone p4-24 Phl p 4-specific scFv antibody            gene, partial cds.","EF607109","Synthetic construct clone p4-24 Phl p 4-specific scFv antibody            gene, partial cds.","synthetic construct","Delineating the specificity of an IgE-encoding transcriptome","","77.11","2e-98"
"","DQ250235","Synthetic construct clone NC-20 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250235","Synthetic construct clone NC-20 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.80","2e-98"
"","DQ250206","Synthetic construct clone TC-2 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250206","Synthetic construct clone TC-2 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.40","2e-98"
"","DQ250179","Synthetic construct clone FC-13 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250179","Synthetic construct clone FC-13 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","2e-98"
"","AJ399811","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin heavy chain variable region (IGHV gene), clone A12.","AJ399851","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin lambda chain variable region (IGLV gene), clone A12.","Homo sapiens (human)","Thyroid peroxidase autoantibodies obtained from random single chain            FV libraries contain the same heavy/light chain combinations as             occur in vivo","","75.30","2e-98"
"","ABL14162","single chain antibody SC-7 [synthetic construct].","ABL14162","single chain antibody SC-7 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.20","2e-98"
"","AF165109","Homo sapiens clone 14.2 immunoglobulin heavy chain variable region            LSG6.1 mRNA, partial cds.","AF165110","Homo sapiens clone 14.2 immunoglobulin kappa light chain variable            region DPL5 mRNA, partial cds.","Homo sapiens (human)","Combinatorial library cloning of human antibodies to Streptococcus            pneumoniae capsular polysaccharides: variable region primary             structures and evidence for somatic mutation of Fab fragments             specific for capsular serotypes","","73.75","3e-98"
"","EU095635","Synthetic construct clone TM-3 anti-testosterone antibody ScFv            fragment gene, partial cds.","EU095635","Synthetic construct clone TM-3 anti-testosterone antibody ScFv            fragment gene, partial cds.","synthetic construct","In vitro evolution of an antibody fragment population to find            high-affinity hapten binders","testosterone","74.70","3e-98"
"","DQ250211","Synthetic construct clone TC-8 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250211","Synthetic construct clone TC-8 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","3e-98"
"","DQ250192","Synthetic construct clone EC-7 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250192","Synthetic construct clone EC-7 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","3e-98"
"","HI581395","Sequence 45 from Patent WO2010111625.","HI581395","Sequence 45 from Patent WO2010111625.","synthetic construct","Compositions and methods for using multispecific-binding proteins            comprising an antibody-receptor combination","","78.71","4e-98"
"","EF089241","Synthetic construct single chain antibody SC-6 gene, partial cds.","EF089241","Synthetic construct single chain antibody SC-6 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","74.40","4e-98"
"","AF543337","Synthetic construct clone FSV93 recombinant single chain Fv            antibody gene, partial cds.","AF543337","Synthetic construct clone FSV93 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","75.30","4e-98"
"","AF396474","Homo sapiens clone D2 anti-thrombospondin immunoglobulin heavy            chain variable region mRNA, partial cds.","AF396475","Homo sapiens clone D2 anti-thrombospondin immunoglobulin light            chain variable region mRNA, partial cds.","Homo sapiens (human)","Single-chain antibody fragments derived from a human synthetic            phage-display library bind thrombospondin and inhibit sickle cell             adhesion","thrombospondin","79.03","4e-98"
"","DQ250243","Synthetic construct clone NL2-14 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250243","Synthetic construct clone NL2-14 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.80","4e-98"
"","DQ250227","Synthetic construct clone NC-4 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250227","Synthetic construct clone NC-4 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","4e-98"
"","ABL14161","single chain antibody SC-6 [synthetic construct].","ABL14161","single chain antibody SC-6 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","74.40","4e-98"
"","EF089246","Synthetic construct single chain antibody SC-16 gene, partial cds.","EF089246","Synthetic construct single chain antibody SC-16 gene, partial cds.","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.60","5e-98"
"","DQ250209","Synthetic construct clone TC-6 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250209","Synthetic construct clone TC-6 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.40","5e-98"
"","DQ250198","Synthetic construct clone EC-14 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250198","Synthetic construct clone EC-14 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.60","5e-98"
"","AY941915","Homo sapiens clone SC4085 anti-rabies virus immunoglobulin heavy            chain variable region mRNA, partial cds.","AY942062","Homo sapiens clone SC4085 anti-rabies virus immunoglobulin light            chain variable region mRNA, complete cds.","Homo sapiens (human)","The human antibody repertoire specific for rabies virus            glycoprotein as selected from immune libraries","rabies virus","74.60","5e-98"
"","ABL14166","single chain antibody SC-16 [synthetic construct].","ABL14166","single chain antibody SC-16 [synthetic construct].","synthetic construct","Exploring central and peripheral diversity in antibody evolution","","75.60","5e-98"
"","AF543343","Synthetic construct clone FSV46 recombinant single chain Fv            antibody gene, partial cds.","AF543343","Synthetic construct clone FSV46 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","74.80","6e-98"
"","DQ250217","Synthetic construct clone TC-14 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250217","Synthetic construct clone TC-14 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","6e-98"
"","DQ250190","Synthetic construct clone EC-4 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250190","Synthetic construct clone EC-4 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","6e-98"
"","DQ250172","Synthetic construct clone FC-5 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250172","Synthetic construct clone FC-5 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","76.00","7e-98"
"","AB063800","Homo sapiens IGH mRNA for immunoglobulin heavy chain VHDJ region,            partial cds, clone:H150.","AB064021","Homo sapiens IGL mRNA for immunoglobulin lambda light chain VLJ            region, partial cds, clone:L150.","Homo sapiens (human)","Construction and characterization of antibody libraries: isolation            of therapeutic human antibodies and application to functional             genomics","","71.49","7e-98"
"","AJ399808","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin heavy chain variable region (IGHV gene), clone A8.","AJ399847","Homo sapiens partial mRNA for thyroid peroxidase-specific            immunoglobulin lambda chain variable region (IGLV gene), clone A8.","Homo sapiens (human)","Thyroid peroxidase autoantibodies obtained from random single chain            FV libraries contain the same heavy/light chain combinations as             occur in vivo","","75.81","7e-98"
"","AF543332","Synthetic construct clone FSV76 recombinant single chain Fv            antibody gene, partial cds.","AF543332","Synthetic construct clone FSV76 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","75.30","8e-98"
"","DQ250176","Synthetic construct clone FC-10 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250176","Synthetic construct clone FC-10 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","8e-98"
"","AB363202","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F038-048H.","AB363398","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F038-048L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","69.35","9e-98"
"","DQ250202","Synthetic construct clone EC-18 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250202","Synthetic construct clone EC-18 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","9e-98"
"","DQ250189","Synthetic construct clone EC-3 estradiol-specific single chain            antibody fragment gene, partial cds.","DQ250189","Synthetic construct clone EC-3 estradiol-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","75.20","9e-98"
"","AF543338","Synthetic construct clone FSV96 recombinant single chain Fv            antibody gene, partial cds.","AF543338","Synthetic construct clone FSV96 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","75.30","1e-97"
"","AF543331","Synthetic construct clone FSV73 recombinant single chain Fv            antibody gene, partial cds.","AF543331","Synthetic construct clone FSV73 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","74.90","1e-97"
"","AB363074","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F003-042H.","AB363340","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F003-042L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","73.31","1e-97"
"","DQ100889","Homo sapiens isolate P1188H immunoglobulin heavy chain variable            region (IGHV3-9) mRNA, IGHV3-9*01 allele, partial cds.","DQ098732","Homo sapiens isolate P1188L immunoglobulin lambda light chain            variable region (IGLV1) mRNA, IGLV1-51*01 allele, partial cds.","Homo sapiens (human)","Immunoglobulin light chain repertoire in chronic lymphocytic            leukemia","","73.28","1e-97"
"","AX814389","Sequence 14 from Patent WO03064648.","AX814389","Sequence 14 from Patent WO03064648.","synthetic construct","Method of making libraries of anti-ligands","","74.40","1e-97"
"","AR149534","Sequence 2 from patent US 6228599.","AR149534","Sequence 2 from patent US 6228599.","Unknown.","Antibody specific for homogalacturonan","","70.97","1e-97"
"","AAE69437","Sequence 1 from patent US 6228599.","AAE69437","Sequence 1 from patent US 6228599.","Unknown.","Antibody specific for homogalacturonan","","70.97","1e-97"
"","AY315931","Synthetic construct clone 83L3B immunoglobulin gamma light chain            variable region mRNA, partial cds.","AY315918","Synthetic construct clone 83L3B immunoglobulin lambda light chain            variable region mRNA, partial cds.","synthetic construct","Human antibodies from immunized donors are protective against            anthrax toxin in vivo","","75.00","2e-97"
"","AF543335","Synthetic construct clone FSV85 recombinant single chain Fv            antibody gene, partial cds.","AF543335","Synthetic construct clone FSV85 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","74.90","2e-97"
"","AF543330","Synthetic construct clone FSV71 recombinant single chain Fv            antibody gene, partial cds.","AF543330","Synthetic construct clone FSV71 recombinant single chain Fv            antibody gene, partial cds.","synthetic construct","Functional consequences of insertions and deletions in the            complementarity-determining regions of human antibodies","","75.30","2e-97"
"","DQ250221","Synthetic construct clone TC-18 testosterone-specific single chain            antibody fragment gene, partial cds.","DQ250221","Synthetic construct clone TC-18 testosterone-specific single chain            antibody fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.00","2e-97"
"","DQ250180","Synthetic construct clone FC-14 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250180","Synthetic construct clone FC-14 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.80","2e-97"
"","DQ250174","Synthetic construct clone FC-7 FITC-specific single chain antibody            fragment gene, partial cds.","DQ250174","Synthetic construct clone FC-7 FITC-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","74.80","2e-97"
"","AY781342","Synthetic construct single chain Fv antibody C1 gene, partial cds.","AY781342","Synthetic construct single chain Fv antibody C1 gene, partial cds.","synthetic construct","Human scFv antibody fragments capable of neutralizing the major            toxin and the whole vemon from the scorpion Centruroides noxius","","75.10","2e-97"
